id;start_date;end_date;language
1;2020-05-24T04:00:29;2020-05-24T01:50:44;SPANISH
2;2020-05-23T08:50:40;2020-05-24T03:55:05;SPANISH
3;2020-05-23T23:45:59;2020-05-23T10:20:08;FRENCH
4;2020-05-23T15:03:30;2020-05-24T02:34:56;FRENCH
5;2020-05-24T00:33:48;2020-05-24T05:20:47;FRENCH
6;2020-05-23T18:26:09;2020-05-24T06:34:23;FRENCH
7;2020-05-23T20:11:29;2020-05-23T14:02:20;FRENCH
8;2020-05-23T19:07:42;2020-05-24T05:23:50;SPANISH
9;2020-05-23T17:48:51;2020-05-23T14:30:14;SPANISH
10;2020-05-24T02:00:55;2020-05-23T12:35:25;SPANISH
